meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1232,9496,1,1,,,64.045,31.458,278.0,214,False,,"[2048, 2049, 2051, 2051, 2051, 2051, 2049, 2051, 2049]","[2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2051, 2064, 2064]",184
1232,9496,1,2,2024-04-07 05:05:53.290000+00:00,,56.617,39.032,179.0,245,True,1711.131,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2049, 2051]",126
1232,9496,1,3,2024-04-07 05:34:24.446000+00:00,,42.768,18.603,279.0,291,False,172.922,"[2048, 2048, 2048, 2051, 2048, 2048, 2049, 2051, 2049]","[2051, 2048, 2049, 2051, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2051, 2049, 2051]",285
1232,9496,1,4,2024-04-07 05:37:17.389000+00:00,34.772,43.042,18.658,278.0,292,False,96.472,"[2049, 2049, 2049, 2051, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048]",284
1232,9496,1,5,2024-04-07 05:38:53.792000+00:00,34.69,43.035,18.712,279.0,293,False,96.437,"[2048, 2049, 2049, 2051, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2051, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048]",286
1232,9496,1,6,2024-04-07 05:40:30.215000+00:00,34.965,43.196,18.694,278.0,293,False,96.855,"[2049, 2049, 2048, 2048, 2048, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2048, 2048, 2048]",286
1232,9496,1,7,2024-04-07 05:42:07.118000+00:00,34.987,43.3,18.683,,293,False,96.97,"[2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",284
1232,9496,1,8,2024-04-07 05:43:44.080000+00:00,35.112,43.412,18.805,,293,False,97.329,"[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",287
1232,9496,1,9,2024-04-07 05:45:21.406000+00:00,35.132,43.298,18.748,,293,False,97.178,"[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048]",288
1232,9496,1,10,2024-04-07 05:46:58.590000+00:00,35.45,43.353,18.787,277.0,292,False,97.59,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",286
1232,9496,1,11,2024-04-07 05:48:36.141000+00:00,35.32,43.622,18.832,276.0,293,False,97.774,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]",287
1232,9496,1,12,2024-04-07 05:50:13.928000+00:00,35.415,43.468,18.87,278.0,292,False,97.753,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",285
1232,9496,1,13,2024-04-07 05:51:51.589000+00:00,35.365,43.511,18.851,,292,False,97.727,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",288
1232,9496,1,14,2024-04-07 05:53:29.452000+00:00,35.432,43.612,18.866,,291,False,97.91,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",286
1232,9496,1,15,2024-04-07 05:55:07.284000+00:00,35.465,43.565,18.824,,292,False,97.854,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",285
