meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1232,9496,22,20,2024-04-07 06:04:06.881000+00:00,35.735,44.445,18.92,277.0,301.0,False,99.1,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",304.0
1232,9496,22,21,2024-04-07 06:05:45.909000+00:00,35.84,44.74,18.982,,301.0,False,99.562,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",302.0
1232,9496,22,22,2024-04-07 06:07:25.445000+00:00,35.995,44.556,21.365,276.0,300.0,False,101.916,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064]",301.0
1232,9496,22,23,2024-04-07 06:09:07.401000+00:00,55.471,43.026,18.754,278.0,293.0,True,117.251,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2049, 0]",293.0
1232,9496,22,24,2024-04-07 06:11:04.523000+00:00,34.996,42.983,18.658,279.0,295.0,False,96.637,"[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",293.0
1232,9496,22,25,2024-04-07 06:12:41.241000+00:00,35.392,43.059,18.622,,295.0,False,97.073,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",295.0
1232,9496,22,26,2024-04-07 06:14:18.295000+00:00,35.304,43.137,18.596,,296.0,False,97.037,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]",295.0
1232,9496,22,27,2024-04-07 06:15:55.296000+00:00,35.46,43.065,18.659,278.0,298.0,False,97.184,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",296.0
1232,9496,22,28,2024-04-07 06:17:32.557000+00:00,35.392,43.076,18.759,279.0,296.0,False,97.227,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]",296.0
1232,9496,22,29,2024-04-07 06:19:09.776000+00:00,35.475,43.131,18.713,278.0,297.0,False,97.319,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",297.0
