date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:04:59.161000+00:00,9496,1299,-11462,935,1232,11
2024-04-07T05:04:59.401000+00:00,9496,1410,-11511,937,1232,11
2024-04-07T05:04:59.801000+00:00,9496,1574,-11582,939,1232,11
2024-04-07T05:05:00.101000+00:00,9496,1648,-11613,940,1232,11
2024-04-07T05:05:00.361000+00:00,9496,1745,-11654,941,1232,11
2024-04-07T05:05:00.621000+00:00,9496,1894,-11717,942,1232,11
2024-04-07T05:05:01.041000+00:00,9496,2019,-11772,943,1232,11
2024-04-07T05:05:01.481000+00:00,9496,2154,-11837,944,1232,11
2024-04-07T05:05:01.681000+00:00,9496,2249,-11886,944,1232,11
2024-04-07T05:05:02.061000+00:00,9496,2350,-11938,944,1232,11
2024-04-07T05:05:02.222000+00:00,9496,2408,-11970,944,1232,11
2024-04-07T05:05:02.381000+00:00,9496,2452,-11995,944,1232,11
2024-04-07T05:05:02.641000+00:00,9496,2530,-12046,943,1232,11
2024-04-07T05:05:02.801000+00:00,9496,2574,-12079,943,1232,11
2024-04-07T05:05:03.121000+00:00,9496,2665,-12172,943,1232,11
2024-04-07T05:05:03.561000+00:00,9496,2747,-12296,943,1232,11
2024-04-07T05:05:03.862000+00:00,9496,2782,-12375,943,1232,11
2024-04-07T05:05:04.061000+00:00,9496,2801,-12432,943,1232,11
2024-04-07T05:05:04.261000+00:00,9496,2816,-12497,944,1232,11
2024-04-07T05:05:04.422000+00:00,9496,2824,-12550,944,1232,11
2024-04-07T05:05:04.601000+00:00,9496,2830,-12610,944,1232,11
2024-04-07T05:05:04.982000+00:00,9496,2833,-12764,944,1232,11
2024-04-07T05:05:05.341000+00:00,9496,2828,-12857,945,1232,11
2024-04-07T05:05:05.562000+00:00,9496,2821,-12931,945,1232,11
2024-04-07T05:05:05.741000+00:00,9496,2813,-12991,945,1232,11
2024-04-07T05:05:05.941000+00:00,9496,2801,-13058,945,1232,11
2024-04-07T05:05:06.142000+00:00,9496,2786,-13124,944,1232,11
2024-04-07T05:05:06.301000+00:00,9496,2772,-13175,945,1232,11
2024-04-07T05:05:06.441000+00:00,9496,2760,-13214,945,1232,11
2024-04-07T05:05:06.681000+00:00,9496,2732,-13289,945,1232,11
2024-04-07T05:05:06.961000+00:00,9496,2674,-13411,944,1232,11
2024-04-07T05:05:07.321000+00:00,9496,2636,-13469,944,1232,11
2024-04-07T05:05:07.661000+00:00,9496,2562,-13551,944,1232,11
2024-04-07T05:05:07.861000+00:00,9496,2521,-13585,943,1232,11
2024-04-07T05:05:08.081000+00:00,9496,2435,-13638,943,1232,11
2024-04-07T05:05:08.381000+00:00,9496,2386,-13660,943,1232,11
2024-04-07T05:05:08.661000+00:00,9496,2309,-13686,942,1232,11
2024-04-07T05:05:08.881000+00:00,9496,2200,-13703,941,1232,11
2024-04-07T05:05:09.302000+00:00,9496,2118,-13704,939,1232,11
2024-04-07T05:05:09.521000+00:00,9496,2019,-13691,936,1232,11
2024-04-07T05:05:09.901000+00:00,9496,1950,-13674,934,1232,11
2024-04-07T05:05:10.142000+00:00,9496,1858,-13643,930,1232,11
2024-04-07T05:05:11.002000+00:00,9496,1643,-13528,916,1232,11
2024-04-07T05:05:11.222000+00:00,9496,1586,-13485,912,1232,11
2024-04-07T05:05:11.441000+00:00,9496,1530,-13438,906,1232,11
2024-04-07T05:05:11.701000+00:00,9496,1466,-13378,901,1232,11
2024-04-07T05:05:12.001000+00:00,9496,1364,-13273,888,1232,11
2024-04-07T05:05:12.362000+00:00,9496,1306,-13208,882,1232,11
2024-04-07T05:05:12.602000+00:00,9496,1227,-13111,872,1232,11
2024-04-07T05:05:12.921000+00:00,9496,1175,-13045,865,1232,11
2024-04-07T05:05:13.100000+00:00,9496,1133,-12989,860,1232,11
2024-04-07T05:05:13.401000+00:00,9496,1062,-12894,850,1232,11
2024-04-07T05:05:13.640000+00:00,9496,1003,-12815,843,1232,11
2024-04-07T05:05:13.821000+00:00,9496,924,-12706,835,1232,11
2024-04-07T05:05:14.101000+00:00,9496,889,-12657,832,1232,11
2024-04-07T05:05:14.381000+00:00,9496,815,-12551,825,1232,11
2024-04-07T05:05:14.581000+00:00,9496,764,-12477,822,1232,11
2024-04-07T05:05:14.881000+00:00,9496,688,-12364,816,1232,11
2024-04-07T05:05:15.061000+00:00,9496,607,-12238,812,1232,11
2024-04-07T05:05:15.361000+00:00,9496,566,-12173,810,1232,11
2024-04-07T05:05:15.641000+00:00,9496,468,-12014,808,1232,11
2024-04-07T05:05:16.021000+00:00,9496,395,-11893,808,1232,11
2024-04-07T05:05:16.281000+00:00,9496,328,-11776,808,1232,11
2024-04-07T05:05:16.521000+00:00,9496,265,-11664,809,1232,11
2024-04-07T05:05:16.701000+00:00,9496,179,-11508,811,1232,11
2024-04-07T05:05:17.081000+00:00,9496,114,-11386,813,1232,11
2024-04-07T05:05:17.321000+00:00,9496,47,-11261,816,1232,11
