lap,x,y,throttle,brake,n_gear,mds_x,mds_y,driver
2,1532.0,-870.0,3.0,0.0,2.0,-0.7613931191521653,-0.32432115753539276,
2,3618.0,-3297.0,0.0,0.0,0.0,-0.9428531880023039,-0.42089596233900495,
2,3621.0,-3301.0,0.0,0.0,0.0,-0.9428531864763239,-0.42089596624400233,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428531099553961,-0.4208961620617799,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428535327947977,-0.42089508001001563,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428533739903114,-0.42089548639334395,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428531728772497,-0.4208960010441561,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428532790075412,-0.4208957294555507,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428533759129791,-0.4208954814732203,
2,3622.0,-3301.0,0.0,0.0,0.0,-0.9428534281036794,-0.4208953479163865,
2,3622.0,-3301.0,0.0,0.0,0.0,-0.9428531990610892,-0.42089593403948694,
2,3622.0,-3301.0,0.0,0.0,0.0,-0.9428534092704786,-0.4208953961108541,
2,3622.0,-3301.0,0.0,0.0,0.0,-0.942853374654536,-0.42089548469359095,
2,3622.0,-3301.0,0.0,0.0,0.0,-0.9428534197222825,-0.4208953693645293,
2,3622.0,-3301.0,0.0,0.0,0.0,-0.9428534070881309,-0.4208954016955207,
2,3622.0,-3301.0,0.0,0.0,0.0,-0.9428532965542404,-0.4208956845533368,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428532582089788,-0.4208957826793426,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428533138262415,-0.4208956403540606,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428533465332871,-0.4208955566562541,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428533794947548,-0.4208954723073763,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.942853337825161,-0.42089557894046886,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428532168773232,-0.42089588844753156,
2,3622.0,-3301.0,0.0,0.0,0.0,-0.9428534386483103,-0.4208953209324921,
2,3623.0,-3303.0,0.0,0.0,0.0,-0.9428533391970515,-0.4208955754297896,
2,3623.0,-3302.0,0.0,0.0,0.0,-0.9428535806755749,-0.42089495748218697,
2,3623.0,-3302.0,0.0,0.0,0.0,-0.9428533698277448,-0.42089549704541124,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428532315219459,-0.42089585097176113,
2,3622.0,-3302.0,0.0,0.0,0.0,-0.9428528143493667,-0.42089691851915595,
2,3622.0,-3302.0,0.0,100.0,0.0,-1.2382393371724492,0.6173575791925311,
2,1613.0,-743.0,100.0,0.0,1.0,0.3060885859221331,-0.67664995279929,
3,1673.0,-813.0,0.0,100.0,1.0,-1.18528753786341,0.5698810451798454,
3,1898.655172413793,-1076.4482758620688,100.0,0.0,1.0,0.30608858592213306,-0.6766499527992899,
3,2285.0,-1528.0,89.75862068965509,100.0,1.0,-0.03202191926766981,-1.1687157860320185,
3,2627.2758620689656,-1928.310344827586,34.4827586206893,100.0,1.0,-0.7823568604465886,0.8726202111785257,
3,3024.1724137931033,-2391.8965517241377,0.0,100.0,1.0,-1.1830927957837865,0.5743900162928945,
3,3297.3103448275865,-2711.2758620689656,0.0,100.0,0.0,-1.239945533369989,0.6139679388691478,
3,3445.7586206896553,-2884.448275862069,0.0,100.0,0.0,-1.2410517424247816,0.6117538538011835,
3,3457.0,-2897.0,0.0,100.0,0.0,-1.2413675177566372,0.6111194120689666,
3,3457.0,-2897.0,0.0,100.0,0.0,-1.2405156021799641,0.6128285778270531,
3,3457.0,-2897.0,0.0,100.0,0.0,-1.241002400636311,0.6118528916160011,
3,3457.0,-2897.0,0.0,100.0,0.0,-1.2382090661818448,0.6174174450316795,
3,3456.0,-2897.0,0.0,100.0,0.0,-1.2411219241110272,0.6116129412387765,
3,3456.0,-2897.0,0.0,100.0,0.0,-1.2383413133926613,0.6171558353340678,
3,3456.0,-2897.0,0.0,100.0,0.0,-1.241472041051642,0.6109091700942216,
3,3456.0,-2897.0,0.0,100.0,0.0,-1.2386438550993242,0.6165566746577573,
3,3456.0,-2897.0,0.0,100.0,0.0,-1.2410741817646764,0.6117088053202827,
3,3456.0,-2897.0,0.0,100.0,0.0,-1.2383653156203018,0.6171083351855181,
3,3456.0,-2897.0,0.0,100.0,0.0,-1.2392631150668079,0.6153273214109203,
3,3456.0,-2897.0,0.0,100.0,0.0,-1.240674978354223,0.6125094218516066,
3,3456.0,-2897.0,0.0,100.0,1.0,-1.1856271923836352,0.5691801268060788,
3,3456.0,-2896.0,0.0,100.0,1.0,-1.1835247070201795,0.5735053787446814,
3,3456.0,-2896.0,0.0,100.0,1.0,-1.1855607659311957,0.5693172733342958,
3,3456.0,-2896.0,17.0,100.0,1.0,-0.9734535248435732,0.7631874166871762,
3,3460.7241379310344,-2901.344827586207,16.0,0.0,1.0,-0.7841880004707051,-0.26941236979249616,
3,3975.0344827586155,-3505.31034482758,100.0,0.0,3.0,0.3115555894552856,-0.42432723534848954,
3,5070.0,-4792.0,100.0,0.0,6.0,0.29200605686290176,0.17675810587297222,
3,3466.7586206896563,-5469.344827586207,4.965517241379279,0.0,5.0,-0.5480025918909474,-0.2824504408297988,
3,2342.4482758620697,-4816.068965517245,76.6896551724133,0.0,5.0,0.04504708256881177,0.091475237590682,
3,1328.413793103456,-3708.413793103449,75.17241379310309,0.0,5.0,0.033729457265923884,0.08047574467749168,
3,1796.0,-956.0,100.0,0.0,7.0,0.36095828898573223,0.08961147517161949,
