driver,throttle,brake,n_gear,mds_x,mds_y,driver_name
1,94.38461538461539,0.0,6.519230769230769,-0.3842871313023228,-0.09236473361536075,Verstappen
1,94.96289821289822,0.0,6.53049728049728,-0.3922398634428878,-0.09380700887639323,Verstappen
1,95.54118104118105,0.0,6.541763791763792,-0.40021328374468457,-0.0950839425828585,Verstappen
1,96.11946386946389,0.0,6.553030303030303,-0.4081831085817785,-0.09618042458152971,Verstappen
1,96.0362712000643,0.33022533022533046,6.560083594566353,-0.40697895135787165,-0.0887539617137967,Verstappen
1,95.48615464994775,0.893550893550894,6.564162848645608,-0.39932547618050773,-0.07524341848771315,Verstappen
1,94.93603809983121,1.4568764568764572,6.568242102724861,-0.3920528449032794,-0.061754841078648814,Verstappen
1,94.48495565736944,1.9230769230769231,6.572857219408943,-0.38674484125955144,-0.051431335186708775,Verstappen
1,94.50923693165072,1.9230769230769231,6.580044476596201,-0.3888057787959339,-0.05028350603570559,Verstappen
1,94.533518205932,1.9230769230769231,6.587231733783458,-0.3908670821876381,-0.04912364943693082,Verstappen
1,94.55779948021328,1.9230769230769231,6.5944189909707145,-0.3929304759807934,-0.047953038067905136,Verstappen
1,94.90981432360743,1.4957264957264953,6.597922192749778,-0.39929682526158294,-0.05544559096874534,Verstappen
1,95.36610802990114,0.9324009324009321,6.600253195080781,-0.4081834356567215,-0.06786307625249084,Verstappen
1,95.82240173619485,0.3690753690753683,6.602584197411783,-0.4169947945426082,-0.07950963769507817,Verstappen
1,96.01759638828605,0.1473622163277346,6.610407791442274,-0.4225577330651691,-0.08279857291059066,Verstappen
1,95.7167028373925,0.5747126436781612,6.628667309701792,-0.4217922124467135,-0.07068365857273498,Verstappen
1,95.41580928649894,1.002063071028589,6.646926827961311,-0.42090293890965236,-0.058434938290821664,Verstappen
1,95.11491573560538,1.4294134983790165,6.665186346220829,-0.4197241852798429,-0.04573344682625816,Verstappen
1,94.97208825657101,1.5854834820352064,6.7141909814323615,-0.4307197145702606,-0.03436720989945745,Verstappen
1,94.84096937545212,1.7214586180103426,6.765473032714413,-0.44276090263068363,-0.023235516422634255,Verstappen
1,94.70985049433324,1.8574337539854786,6.816755083996464,-0.45495835273062607,-0.012250724303021666,Verstappen
1,94.65057069367414,1.9230769230769231,6.879390724218311,-0.47146218057166417,-0.001059099086427584,Verstappen
1,94.65834070144415,1.9230769230769231,6.9526230474506345,-0.4918387129239407,0.010362601162349709,Verstappen
1,94.66611070921415,1.9230769230769231,7.025855370682957,-0.5122228994447332,0.021610216755432933,Verstappen
1,94.67307692307692,1.9230769230769231,7.099670444498031,-0.5326731444082554,0.03313772737331608,Verstappen
1,94.67307692307692,1.9230769230769231,7.17853602336361,-0.5543366599093043,0.04570053302052852,Verstappen
1,94.67307692307692,1.9230769230769231,7.257401602229189,-0.5759518258557708,0.05838294314530947,Verstappen
1,94.67307692307692,1.9230769230769231,7.336267181094768,-0.5975784353237864,0.07113136102492107,Verstappen
1,94.68473193473193,1.9230769230769231,7.3757468585054795,-0.6084426382620907,0.07757365680669322,Verstappen
1,94.7016317016317,1.9230769230769231,7.397502880261501,-0.6144737622674623,0.08113572064557034,Verstappen
1,94.71853146853147,1.9230769230769231,7.419258902017523,-0.6204958306447682,0.08475432569384524,Verstappen
1,94.53496503496503,2.2338772338772346,7.437156713018783,-0.621423911338365,0.09359309773541852,Verstappen
1,93.82517482517483,3.3605283605283622,7.44492672078879,-0.6089418312622267,0.11669728285989212,Verstappen
1,93.11538461538461,4.487179487179489,7.452696728558798,-0.5966087800092327,0.14022054514421298,Verstappen
1,92.4055944055944,5.613830613830617,7.460466736328805,-0.5845385122775807,0.16408991715170612,Verstappen
