lap,x,y,throttle,brake,n_gear,mds_x,mds_y,driver
2,1481.0,-810.0,0.0,0.0,1.0,-0.894286841548608,0.21565535634722563,
2,1935.655172413793,-1346.2413793103449,0.0,0.0,1.0,-0.8982679728098437,0.2020456278359208,
2,2257.689655172414,-1720.1379310344828,0.0,0.0,1.0,-0.8982440878526887,0.20212948100773365,
2,2691.6206896551726,-2224.793103448276,0.0,0.0,1.0,-0.897193826212818,0.2057889372532713,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9576526933460651,0.29861516157096135,
2,2788.0,-2336.0,0.0,100.0,0.0,-1.1222881565592149,0.8567793979037375,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9659995532751209,0.2743521448701421,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9570742871584278,0.3002271537959865,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9571237917309983,0.3000895118714113,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9572237051195804,0.29981152915504267,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9669346877678412,0.27150600367758926,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9571639816447437,0.29997772373156906,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9571230415076926,0.3000915982355755,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9571964993236781,0.2998872466238659,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9571581227090031,0.2999940228352825,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9570923500257048,0.3001769390343593,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9570485531209795,0.30029868048450237,
2,2788.0,-2336.0,0.0,0.0,0.0,-0.9571006304180223,0.3001539168524122,
2,2789.0,-2336.0,0.0,0.0,0.0,-0.9571127975964326,0.3001200850663482,
2,2789.0,-2336.0,0.0,0.0,0.0,-0.9571260774285832,0.3000831552814925,
2,2789.0,-2336.0,0.0,0.0,0.0,-0.9571099998294669,0.3001278647991286,
2,2789.0,-2336.0,0.0,0.0,0.0,-0.9681105666447397,0.2678865752954102,
2,2789.0,-2336.0,0.0,0.0,0.0,-0.9572751199958864,0.2996683843605694,
2,2789.0,-2336.0,0.0,0.0,0.0,-0.9571103554770536,0.30012687586288894,
2,2789.0,-2336.0,0.0,0.0,0.0,-0.957892054926124,0.2979456256757244,
2,2789.0,-2337.0,0.0,0.0,0.0,-0.9571207218919568,0.30009804897767206,
2,2789.0,-2337.0,0.0,0.0,0.0,-0.9695948577084169,0.2632507084467542,
2,2789.0,-2337.0,0.0,0.0,0.0,-0.9613298994608787,0.28816560291201393,
2,2789.0,-2337.0,0.0,0.0,0.0,-0.9572873681429925,0.2996342744655491,
2,2789.0,-2337.0,0.0,0.0,0.0,-0.9662301554972887,0.2736528942465329,
4,1940.0,-1125.0,100.0,0.0,7.0,0.33031736700085923,-0.05283877797730677,
4,2229.0,-1463.0,100.0,0.0,7.0,0.33031736700085923,-0.05283877797730677,
4,2637.5862068965516,-1940.2068965517242,100.0,0.0,7.0,0.33031736700085923,-0.05283877797730677,
4,2937.8275862068967,-2291.689655172414,100.0,0.0,7.0,0.33031736700085923,-0.05283877797730677,
4,3301.4137931034484,-2716.310344827586,100.0,0.0,7.0,0.33031736700085923,-0.05283877797730677,
4,3634.7586206896553,-3105.5172413793107,100.0,0.0,8.0,0.3824831311905924,-0.16446740180895117,
4,4241.172413793103,-3820.655172413793,100.0,0.0,8.0,0.38248313119052696,-0.16446740180903519,
4,4489.103448275862,-4111.413793103448,100.0,0.0,8.0,0.3824831311904983,-0.16446740180907155,
4,4919.6551724137935,-4617.620689655172,100.0,0.0,8.0,0.3824831311905781,-0.16446740180897096,
4,2291.2413793103447,-4636.3448275862065,70.62068965517241,0.0,5.0,-0.03795476532624049,0.05159870724864166,
4,2200.0,-4318.0,57.206896551724135,0.0,5.0,-0.16125955369988731,0.004362107502215685,
4,2049.5172413793102,-4033.551724137931,36.6551724137931,0.0,5.0,-0.35404971357406384,-0.057714677140949106,
4,1705.3793103448274,-3782.448275862069,43.931034482758626,0.0,5.0,-0.28540091464137984,-0.036553135931478985,
4,1230.344827586206,-3701.448275862069,63.931034482758626,0.0,5.0,-0.0991904961350284,0.027180269703683563,
4,924.7241379310349,-3669.689655172414,21.724137931034583,0.0,5.0,-0.49589509082545846,-0.09883947640570238,
4,648.5172413793093,-3576.275862068965,0.0,0.0,4.655172413793099,-0.7166617893327456,-0.12474994892773301,
4,350.24137931034403,-3356.8965517241368,31.103448275862082,0.0,4.0,-0.448961968022727,0.032571895100023916,
4,126.4827586206897,-2894.724137931035,50.55172413793104,0.0,4.0,-0.268820670761701,0.09274483218978205,
4,145.0344827586207,-2723.0344827586205,70.06896551724138,0.0,4.0,-0.09090549570867028,0.16296451319310154,
4,238.82758620689643,-2445.931034482759,77.3103448275862,0.0,4.0,-0.025135522621475396,0.19114807409348294,
4,417.0,-1993.0,75.2413793103448,0.0,4.7931034482758665,-0.005855068413836383,0.09248915497399857,
4,448.03448275862064,-1578.965517241379,58.17241379310343,0.0,5.0,-0.1523113627583321,0.007533438135829952,
4,259.5862068965518,-1242.4827586206898,75.17241379310344,0.0,5.0,0.0035000568474455067,0.06909051802274757,
4,-25.89655172413765,256.8275862069049,98.20689655172421,0.0,4.137931034482753,0.1720610451661445,0.260300953251828,
4,298.4482758620694,364.31034482758605,100.0,0.0,5.0,0.2296195505082349,0.17077569065346687,
4,679.4137931034481,178.03448275862075,100.0,0.0,5.0,0.2296195505082349,0.17077569065346687,
