lap,x,y,throttle,brake,n_gear,mds_x,mds_y,driver
2,1529.0,-867.0,10.0,0.0,1.0,-0.6231584503383986,0.6028233057967717,
2,3721.0,-3416.0,0.0,0.0,0.0,-0.7614459792292092,0.6861288072781246,
2,3688.0,-3378.0,0.0,0.0,0.0,-0.7614459780726065,0.6861288085813899,
2,3688.0,-3379.0,0.0,0.0,0.0,-0.7614459444022534,0.686128846521172,
2,3689.0,-3380.0,0.0,0.0,0.0,-0.7614459311108143,0.6861288614979764,
2,3690.0,-3380.0,0.0,0.0,0.0,-0.7614459258153882,0.6861288674648682,
2,3691.0,-3381.0,0.0,0.0,0.0,-0.7614459696764105,0.6861288180422275,
2,3691.0,-3381.0,0.0,0.0,0.0,-0.7614460369007535,0.6861287422937647,
2,3691.0,-3381.0,0.0,0.0,0.0,-0.7614459259696599,0.6861288672910486,
2,3691.0,-3382.0,0.0,0.0,0.0,-0.7614459288965217,0.6861288639930567,
2,3691.0,-3382.0,0.0,0.0,0.0,-0.7614459855424681,0.6861288001643403,
2,3692.0,-3382.0,0.0,0.0,0.0,-0.76144592784556,0.686128865177269,
2,3692.0,-3382.0,0.0,0.0,0.0,-0.76144592585876,0.6861288674159939,
2,3692.0,-3382.0,0.0,0.0,0.0,-0.7614459284025333,0.6861288645496705,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.7614459277201784,0.6861288653185603,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.7614460795907009,0.6861286941906589,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.7614460132901242,0.6861287688982471,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.7614462606817343,0.6861284901369563,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.7614459239846697,0.6861288695277256,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.7614459261922867,0.6861288670401919,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.7614475555545721,0.6861270310686343,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.761445998706182,0.6861287853314649,
2,3692.0,-3383.0,0.0,0.0,0.0,-0.7614459298048478,0.6861288629695458,
2,3693.0,-3383.0,0.0,0.0,0.0,-0.7614477084993496,0.6861268587294206,
2,3693.0,-3383.0,0.0,0.0,0.0,-0.7614459313986495,0.6861288611736575,
2,3693.0,-3383.0,0.0,0.0,0.0,-0.7614459255660708,0.68612886774581,
2,3693.0,-3383.0,0.0,0.0,0.0,-0.7614460070191668,0.6861287759643706,
2,3693.0,-3383.0,0.0,0.0,0.0,-0.7614459339907362,0.6861288582528968,
2,3693.0,-3384.0,0.0,100.0,0.0,-1.3556341568987835,-0.23747379053509396,
2,1604.0,-733.0,0.0,0.0,1.0,-0.7210534709005376,0.5958513782741797,
3,1623.0,-755.0,0.0,0.0,1.0,-0.721053557454276,0.5958512727636166,
3,1801.0,-962.0,100.0,0.0,1.0,0.015042709173799995,-0.6230547962431401,
3,2179.3793103448274,-1404.7931034482758,0.0,100.0,1.0,-1.2695333527944004,-0.3247444428414148,
3,2588.4827586206898,-1882.0689655172414,0.0,100.0,1.0,-1.2695964521974346,-0.32450350686501706,
3,2954.793103448276,-2311.6206896551726,79.31034482758636,0.0,1.0,0.031715242888245725,0.6554104365984683,
3,3283.0,-2694.0,24.137931034482733,75.86206896551727,1.0,-1.0132363211980795,-0.1793901677304766,
3,3510.2413793103447,-2959.551724137931,0.0,100.0,0.0,-1.3554922997436238,-0.23825194019024207,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3555669334532174,-0.23784282297672818,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3554526463615637,-0.2384690532162859,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3554866492424,-0.23828288895263597,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3556267243579783,-0.2375146175438304,
